index,date,iso_code,total_vacc
642,2021-11-08,ARG,6104342.121788263
643,2021-11-09,ARG,6125122.82250607
644,2021-11-10,ARG,6145607.658162355
645,2021-11-11,ARG,6165797.323276043
646,2021-11-12,ARG,6185695.2904417515
647,2021-11-13,ARG,6205300.1706216335
648,2021-11-14,ARG,6224616.825448155
649,2021-11-15,ARG,6243643.86588347
650,2021-11-16,ARG,6262387.54259789
651,2021-11-17,ARG,6280812.435126305
652,2021-11-18,ARG,6298948.407782435
653,2021-11-19,ARG,6316796.155085206
654,2021-11-20,ARG,6334358.4551103115
655,2021-11-21,ARG,6351636.002376676
656,2021-11-22,ARG,6368630.88044107
657,2021-11-23,ARG,6385347.256417036
658,2021-11-24,ARG,6401784.435785651
659,2021-11-25,ARG,6417945.891141534
660,2021-11-26,ARG,6433835.095079303
661,2021-11-27,ARG,6449452.047598958
662,2021-11-28,ARG,6464801.610332966
663,2021-11-29,ARG,6479885.866838098
664,2021-11-30,ARG,6494706.206152201
665,2021-12-01,ARG,6509266.795388818
666,2021-12-02,ARG,6523569.71810472
667,2021-12-03,ARG,6537619.14141345
668,2021-12-04,ARG,6551415.759833932
669,2021-12-05,ARG,6564963.045960784
670,2021-12-06,ARG,6578264.472388625
671,2021-12-07,ARG,6591324.206230998
672,2021-12-08,ARG,6604142.942006826
673,2021-12-09,ARG,6616724.846829653
